Time,Command
0.013230794117646383,JUMP
0.6454747941176464,DOWN
0.8807693941176478,JUMP
1.1630859941176475,BOMB
1.6435115941176477,DOWN
1.8788612941176464,JUMP
2.144806394117646,BOMB
2.644674994117647,DOWN
3.1281135941176466,JUMP
3.6283372941176477,DOWN
3.881289194117647,JUMP
4.132269394117648,JUMP
4.6654223941176465,DOWN
4.897905594117647,JUMP
5.184739294117646,BOMB
5.695672494117646,DOWN
5.930317694117647,JUMP
6.128987794117647,BOMB
6.664368194117648,DOWN
7.162488794117648,JUMP
7.395097494117646,BOMB
7.663588894117646,DOWN
7.896208594117647,JUMP
8.163594194117648,JUMP
8.663730694117648,DOWN
9.148232394117647,JUMP
9.679841694117647,DOWN
9.914534694117647,BOMB
10.663814194117647,DOWN
11.163202294117648,JUMP
11.380838594117646,BOMB
11.629349494117646,DOWN
12.132230094117647,JUMP
12.630736794117647,DOWN
13.129750794117646,JUMP
13.427732094117646,DOWN
13.697793994117648,DOWN
14.130578894117646,DOWN
14.663358294117648,DOWN
15.145184794117649,JUMP
15.382766594117646,BOMB
15.644125494117647,DOWN
15.879089394117647,BOMB
16.162395594117648,JUMP
16.680332294117648,DOWN
17.182195094117645,BOMB
17.412442894117646,JUMP
17.67985639411765,DOWN
17.91299769411765,BOMB
18.144078594117644,JUMP
18.67646849411765,DOWN
19.409284194117646,BOMB
19.642699194117647,DOWN
19.910481794117644,BOMB
20.158746194117647,JUMP
20.67602759411765,DOWN
21.14302779411765,BOMB
21.39797889411765,JUMP
21.62613809411765,DOWN
21.908555194117646,JUMP
22.69166119411765,DOWN
23.17619719411765,JUMP
23.44260239411765,BOMB
23.65988399411765,DOWN
23.925826694117646,BOMB
24.176147094117646,JUMP
24.674526094117645,DOWN
25.12596679411765,JUMP
25.674259894117647,DOWN
25.875854494117647,BOMB
26.12799379411765,JUMP
26.65884809411765,DOWN
27.19190369411765,JUMP
27.44117849411765,BOMB
27.659562794117647,DOWN
28.62485449411765,DOWN
29.17632759411765,JUMP
29.423682794117646,DOWN
