Time,Command
0.013801011764705606,JUMP
0.4905812117647059,JUMP
0.9945993117647061,BOMB
1.515652211764706,DOWN
1.7214672117647054,BOMB
1.9765921117647056,JUMP
2.469301011764706,JUMP
2.9802628117647054,BOMB
3.5220025117647062,DOWN
3.737123811764706,BOMB
3.9890058117647063,JUMP
4.469174211764706,JUMP
4.9947681117647065,BOMB
5.5214133117647055,DOWN
5.726256311764706,BOMB
5.973909011764706,JUMP
6.502602311764706,JUMP
7.005503811764706,BOMB
7.503207311764706,DOWN
7.739378211764706,BOMB
7.986892211764706,JUMP
8.521631111764707,JUMP
9.017154411764706,BOMB
9.467969511764707,DOWN
9.727013511764707,BOMB
9.970760711764706,JUMP
10.511976311764707,JUMP
11.013289511764706,BOMB
11.501845711764707,DOWN
11.710811811764707,BOMB
12.002308611764706,JUMP
12.487770611764706,JUMP
12.972568711764707,BOMB
13.517860211764708,DOWN
13.989572011764706,DOWN
14.472640911764705,BOMB
15.003609611764707,BOMB
15.504989011764705,BOMB
15.989093911764707,JUMP
16.491620211764705,DOWN
16.958113611764706,JUMP
17.488567711764706,DOWN
17.990969511764703,JUMP
18.473057411764703,DOWN
18.974528911764704,BOMB
19.470357411764706,DOWN
20.001708011764705,JUMP
20.489434911764704,DOWN
20.741745611764703,BOMB
20.985930411764706,JUMP
21.492916811764704,DOWN
21.994781611764704,JUMP
22.484910211764703,DOWN
22.740833211764706,JUMP
22.959198111764703,JUMP
23.501034411764703,DOWN
23.736903511764705,JUMP
24.007943111764703,JUMP
24.485600511764705,DOWN
24.707122311764703,BOMB
25.001967311764705,JUMP
25.452809611764703,DOWN
25.963075011764705,JUMP
26.502711611764706,DOWN
26.751134811764704,JUMP
26.974886011764706,JUMP
27.452216011764705,DOWN
27.693240311764704,JUMP
28.012395311764706,JUMP
28.503376511764703,DOWN
28.710220711764705,BOMB
29.000407411764705,JUMP
29.503678811764708,DOWN
29.963457611764703,JUMP
30.464604511764705,DOWN
30.7250756117647,JUMP
30.965328311764708,JUMP
31.270017211764703,BOMB
31.470942111764707,DOWN
31.754076711764704,JUMP
32.008288611764705,JUMP
32.50447281176471,BOMB
32.984783611764705,DOWN
33.517315311764705,BOMB
34.0008728117647,BOMB
34.48680791176471,BOMB
34.9720811117647,BOMB
35.4692465117647,BOMB
35.97314141176471,JUMP
36.4884845117647,JUMP
37.021513211764706,DOWN
37.4715108117647,JUMP
37.972581711764704,JUMP
38.48635071176471,DOWN
38.97460191176471,BOMB
39.504169911764706,DOWN
40.004437911764704,JUMP
40.4627662117647,DOWN
40.709080011764705,BOMB
41.00377421176471,JUMP
41.2244823117647,BOMB
41.471228411764706,DOWN
41.96686721176471,JUMP
42.5086988117647,DOWN
42.75620151176471,BOMB
42.98986991176471,JUMP
43.2253067117647,BOMB
43.4711271117647,DOWN
43.722184711764704,BOMB
43.99882431176471,JUMP
44.48299921176471,DOWN
44.74417601176471,BOMB
44.96518721176471,JUMP
45.2278695117647,BOMB
45.44041211176471,DOWN
45.969837211764705,JUMP
46.4792163117647,DOWN
46.721349911764705,BOMB
46.98905641176471,JUMP
47.23949971176471,BOMB
47.4790601117647,DOWN
47.725248011764705,BOMB
47.9811163117647,JUMP
48.2239112117647,BOMB
48.49067381176471,DOWN
48.739545111764706,BOMB
48.973426311764705,JUMP
49.496846711764704,DOWN
49.7219029117647,BOMB
50.005949011764706,JUMP
50.21132141176471,BOMB
50.4566573117647,DOWN
50.7096866117647,BOMB
50.96099911176471,JUMP
51.50454891176471,DOWN
51.730972011764706,BOMB
51.986921411764705,JUMP
52.4830504117647,DOWN
52.7220294117647,BOMB
52.973188511764704,JUMP
53.231119711764705,BOMB
53.4776282117647,DOWN
54.0000198117647,JUMP
54.505356711764705,DOWN
54.7308622117647,BOMB
54.993457111764705,JUMP
55.22920891176471,BOMB
55.472392611764704,DOWN
55.7454427117647,BOMB
55.98156001176471,JUMP
56.505953711764704,DOWN
56.756570311764705,BOMB
56.95744641176471,JUMP
57.231283911764706,BOMB
57.49130121176471,DOWN
57.99940371176471,JUMP
58.4976449117647,DOWN
58.723113711764704,BOMB
58.950995811764706,JUMP
59.25404291176471,BOMB
59.47110931176471,DOWN
59.743251011764706,BOMB
59.9885141117647,DOWN
60.472349411764704,DOWN
60.9866416117647,JUMP
61.4684188117647,JUMP
61.99540411176471,BOMB
62.51855121176471,DOWN
62.741518011764704,BOMB
62.988296111764704,JUMP
63.473411211764706,JUMP
63.98607801176471,BOMB
64.47159371176471,DOWN
64.7299188117647,BOMB
64.97338711176471,JUMP
65.52464171176472,JUMP
66.00993571176471,BOMB
66.25549521176471,DOWN
66.7215160117647,DOWN
67.23243761176471,DOWN
67.48837211176472,DOWN
67.71542351176471,DOWN
67.97491901176471,JUMP
68.4680478117647,DOWN
69.0177349117647,JUMP
69.46984631176471,DOWN
69.99383601176471,JUMP
70.47144361176471,DOWN
70.72668171176471,BOMB
70.98527071176471,JUMP
71.46803671176471,DOWN
71.72676021176471,BOMB
71.97229451176472,JUMP
72.48842221176471,DOWN
72.9873313117647,JUMP
73.52046781176472,DOWN
73.97732711176471,JUMP
74.5223054117647,DOWN
74.72194031176471,BOMB
74.99557631176471,JUMP
75.48957191176471,DOWN
75.72458861176472,BOMB
75.97343391176472,JUMP
76.50394271176471,DOWN
76.98808801176472,JUMP
77.4738338117647,DOWN
77.97464061176471,JUMP
78.52307361176472,DOWN
79.01796201176471,JUMP
79.50288961176472,DOWN
80.0013736117647,JUMP
80.5007723117647,DOWN
80.97206291176471,JUMP
81.50370611176471,DOWN
