Time,Command
0.0009507235294128336,JUMP
0.9836185235294126,BOMB
1.9656430235294122,BOMB
3.000124123529413,BOMB
4.001417223529413,BOMB
4.968155323529412,BOMB
6.016807323529412,BOMB
7.000830323529413,BOMB
7.967178423529412,BOMB
8.495193623529413,JUMP
9.017607623529411,BOMB
9.969583523529412,BOMB
10.496702723529413,JUMP
10.984759923529413,BOMB
11.968448123529413,BOMB
12.479778123529414,JUMP
12.985163823529412,BOMB
14.000061023529412,BOMB
14.476629123529413,JUMP
14.966346623529414,BOMB
15.999729423529413,JUMP
16.489874223529412,DOWN
17.000895423529414,JUMP
17.478341023529413,DOWN
17.966612923529414,JUMP
18.478419623529412,DOWN
18.999824623529413,JUMP
19.519626523529414,DOWN
20.003503123529413,JUMP
20.253592023529414,BOMB
20.495257223529414,DOWN
20.756465823529414,DOWN
21.001413923529412,BOMB
21.218138923529413,JUMP
21.507051223529412,DOWN
21.741268823529413,BOMB
21.974503823529414,JUMP
22.237516723529414,BOMB
22.494746823529415,DOWN
22.751672723529413,DOWN
22.989932923529413,BOMB
23.231308923529415,JUMP
23.501107323529414,DOWN
24.008309723529415,JUMP
24.49806882352941,BOMB
25.459625723529413,BOMB
25.984696123529414,JUMP
26.474057223529414,BOMB
27.479353723529414,BOMB
27.96807522352941,JUMP
28.491895923529412,JUMP
28.985065423529413,DOWN
29.489563723529415,DOWN
30.017367623529417,BOMB
31.00047312352941,BOMB
31.983327923529416,DOWN
32.47880202352941,JUMP
33.00489462352942,JUMP
33.47718962352941,DOWN
33.73833702352941,BOMB
33.97252192352941,JUMP
34.51542082352941,DOWN
34.72140662352941,BOMB
35.005300523529414,JUMP
35.49301272352941,DOWN
35.75715432352941,BOMB
35.98552362352941,DOWN
36.46396882352941,JUMP
37.00993582352941,JUMP
37.473668123529414,DOWN
37.735584123529414,BOMB
38.01897422352941,JUMP
38.49826982352941,DOWN
38.75255282352941,BOMB
38.855898323529416,BOMB
39.005154123529415,JUMP
39.47976082352941,DOWN
39.750012723529416,BOMB
39.97188402352941,DOWN
40.51575972352941,JUMP
40.978379123529415,JUMP
41.493922123529416,DOWN
41.751356923529414,BOMB
41.989363023529414,JUMP
42.50659832352941,DOWN
42.726294223529415,BOMB
43.00976462352941,JUMP
43.49310452352941,DOWN
43.75714402352941,BOMB
43.98970642352941,DOWN
44.465566323529416,JUMP
45.007860323529414,JUMP
45.516636723529416,DOWN
45.731310423529415,BOMB
46.006097123529415,JUMP
46.530260523529414,DOWN
46.73658612352941,BOMB
46.977571723529415,JUMP
47.48720372352941,DOWN
47.75164902352941,BOMB
47.98505132352941,JUMP
48.48061022352941,BOMB
49.49367542352941,BOMB
50.00337852352941,JUMP
50.475621723529414,BOMB
51.476725423529416,BOMB
51.98750952352941,JUMP
52.46337172352941,BOMB
52.968321123529414,JUMP
53.479572623529414,JUMP
53.98534082352941,BOMB
54.52272452352941,DOWN
54.98382782352941,BOMB
55.508902623529416,JUMP
56.01869432352942,JUMP
56.493931223529415,BOMB
57.00124902352941,DOWN
57.47954152352941,BOMB
57.98471402352941,JUMP
58.473978923529415,JUMP
59.00589832352941,DOWN
59.27093192352942,DOWN
59.50252602352941,DOWN
59.72448502352941,DOWN
60.00265282352942,JUMP
60.46024092352941,DOWN
60.968954123529414,JUMP
61.49312012352941,DOWN
61.98849692352941,JUMP
62.491608423529414,DOWN
63.00167922352941,JUMP
63.52089432352942,DOWN
63.95827072352941,JUMP
64.23791692352941,BOMB
64.53114012352941,DOWN
64.7638712235294,DOWN
64.97803932352942,BOMB
65.25853032352941,JUMP
65.50433932352941,DOWN
65.73912632352942,BOMB
65.99458482352941,JUMP
66.25896052352941,BOMB
66.50533922352942,DOWN
66.72061292352942,DOWN
67.01051922352941,BOMB
67.26994252352941,JUMP
67.50759252352941,DOWN
68.00288672352941,JUMP
68.51498682352941,BOMB
69.50656032352941,BOMB
70.00540312352942,JUMP
70.49668862352941,BOMB
71.47889462352941,BOMB
71.9886765235294,JUMP
72.49798912352941,JUMP
73.00578492352942,DOWN
73.48869932352942,DOWN
74.02447772352942,BOMB
74.98646432352942,BOMB
76.00581592352941,DOWN
76.4717637235294,JUMP
77.00575222352941,JUMP
77.51978362352942,DOWN
77.7390018235294,BOMB
77.97574922352942,JUMP
78.50526502352942,DOWN
78.72031702352942,BOMB
78.98838122352942,JUMP
79.47494382352941,DOWN
79.73767812352942,BOMB
79.97725652352942,DOWN
80.47538492352942,JUMP
81.0128692235294,JUMP
81.50518762352941,DOWN
81.77290112352941,BOMB
82.01009462352941,JUMP
82.50770802352942,DOWN
82.72520162352941,BOMB
82.9633365235294,JUMP
83.51338502352941,DOWN
83.74498232352941,BOMB
84.00046152352941,DOWN
84.49736732352942,JUMP
84.99995652352942,JUMP
85.50616362352942,DOWN
85.72806622352941,BOMB
86.00915962352941,JUMP
86.4916461235294,DOWN
86.75927932352941,BOMB
86.99338332352941,JUMP
87.50501492352942,DOWN
87.71905232352941,BOMB
87.98809302352942,JUMP
88.48494522352941,JUMP
